,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted_encoded,department_encoded,region_encoded,education_encoded,gender_encoded,recruitment_channel_encoded,is_promoted
26,37749,Procurement,region_26,Bachelor's,M,other,1,31,5.0,4,0,68.0,0,5,18,0,1,0,No
27,2370,Technology,region_26,Bachelor's,M,other,1,33,4.0,4,0,79.0,0,8,18,0,1,0,No
28,8219,Analytics,region_5,Bachelor's,M,other,1,29,5.0,3,0,80.0,0,0,29,0,1,0,No
30,27395,Procurement,region_15,Bachelor's,M,sourcing,1,37,5.0,10,0,72.0,0,5,6,0,1,2,No
35,77064,Sales & Marketing,region_22,Bachelor's,M,other,1,40,2.0,4,0,47.0,0,7,14,0,1,0,No
36,64062,Technology,region_28,Bachelor's,M,sourcing,1,33,4.0,4,0,75.0,0,8,20,0,1,2,No
37,47123,Sales & Marketing,region_7,Bachelor's,F,sourcing,1,40,5.0,3,0,47.0,0,7,31,0,0,2,No
38,56275,Sales & Marketing,region_1,Master's & above,M,other,1,42,5.0,5,0,51.0,0,7,0,2,1,0,No
39,58304,Sales & Marketing,region_28,Bachelor's,M,sourcing,1,33,5.0,6,0,51.0,1,7,20,0,1,2,Yes
40,25014,Technology,region_15,Bachelor's,M,other,1,34,3.0,10,0,80.0,0,8,6,0,1,0,No
44,61758,Analytics,region_2,Bachelor's,M,other,1,44,5.0,12,0,88.0,0,0,11,0,1,0,No
45,75009,Procurement,region_17,Bachelor's,F,sourcing,1,50,5.0,11,0,71.0,0,5,8,0,0,2,No
46,17876,Procurement,region_13,Master's & above,F,other,1,37,4.0,4,0,71.0,0,5,4,2,0,0,No
47,36924,Technology,region_16,Bachelor's,M,sourcing,1,40,3.0,11,0,80.0,0,8,7,0,1,2,No
48,50408,Sales & Marketing,region_20,Bachelor's,M,sourcing,1,30,3.0,3,0,49.0,0,7,12,0,1,2,No
49,18013,Procurement,region_2,Master's & above,F,sourcing,1,56,3.0,12,0,73.0,0,5,11,2,0,2,No
50,24104,Finance,region_2,Bachelor's,M,sourcing,1,20,4.0,2,0,60.0,0,1,11,0,1,2,No
51,32083,Sales & Marketing,region_25,Bachelor's,F,sourcing,1,31,3.0,8,0,48.0,0,7,17,0,0,2,No
52,38330,Procurement,region_15,Bachelor's,M,sourcing,1,40,3.0,12,0,65.0,0,5,6,0,1,2,No
54,73161,Operations,region_22,Bachelor's,M,other,1,39,3.0,5,0,62.0,0,4,14,0,1,0,No
57,32709,R&D,region_22,Master's & above,M,sourcing,1,40,3.0,5,0,84.0,0,6,14,2,1,2,No
59,32656,Sales & Marketing,region_19,Bachelor's,M,other,1,40,4.0,7,0,52.0,0,7,10,0,1,0,No
61,3113,Sales & Marketing,region_29,Bachelor's,M,sourcing,1,25,3.0,3,0,53.0,0,7,21,0,1,2,No
63,14107,Sales & Marketing,region_1,Master's & above,M,sourcing,1,35,4.0,2,0,52.0,0,7,0,2,1,2,No
64,58747,R&D,region_26,Bachelor's,M,other,1,34,5.0,5,0,87.0,0,6,18,0,1,0,No
65,3342,Operations,region_13,Master's & above,F,sourcing,1,31,3.0,3,0,58.0,0,4,4,2,0,2,No
68,73729,Procurement,region_10,Bachelor's,M,other,1,30,4.0,6,0,75.0,0,5,1,0,1,0,No
69,45624,Analytics,region_31,Bachelor's,M,other,1,30,3.0,7,0,84.0,1,0,24,0,1,0,Yes
70,75677,Operations,region_22,Bachelor's,F,other,1,50,5.0,5,0,59.0,0,4,14,0,0,0,No
71,24040,Technology,region_22,Master's & above,M,other,1,34,5.0,7,0,78.0,1,8,14,2,1,0,Yes
73,51786,Sales & Marketing,region_16,Bachelor's,M,sourcing,1,32,4.0,6,0,44.0,0,7,7,0,1,2,No
74,77577,Sales & Marketing,region_7,Bachelor's,M,other,1,50,3.0,14,0,52.0,0,7,31,0,1,0,No
75,54782,Sales & Marketing,region_2,Master's & above,M,sourcing,1,38,4.0,2,0,49.0,1,7,11,2,1,2,Yes
77,75103,Sales & Marketing,region_30,Bachelor's,M,sourcing,1,35,4.0,3,0,53.0,0,7,23,0,1,2,No
78,7520,Analytics,region_2,Bachelor's,M,other,1,25,3.0,2,0,91.0,0,0,11,0,1,0,No
79,59147,Sales & Marketing,region_22,Bachelor's,M,sourcing,1,30,3.0,3,0,58.0,1,7,14,0,1,2,Yes
80,53092,Technology,region_2,Bachelor's,M,referred,1,47,3.0,7,0,79.0,0,8,11,0,1,1,No
81,34564,Operations,region_4,Master's & above,M,sourcing,1,35,2.0,7,0,53.0,0,4,28,2,1,2,No
83,77135,R&D,region_22,Bachelor's,M,other,1,36,4.0,8,0,82.0,0,6,14,0,1,0,No
85,47498,Operations,region_11,Master's & above,F,sourcing,1,42,5.0,11,0,60.0,1,4,2,2,0,2,Yes
86,20798,HR,region_20,Bachelor's,F,sourcing,1,28,2.0,6,0,52.0,0,2,12,0,0,2,No
88,22261,Procurement,region_7,Master's & above,M,sourcing,1,32,5.0,3,0,69.0,1,5,31,2,1,2,Yes
91,21628,Analytics,region_12,Bachelor's,M,other,1,34,3.0,8,0,85.0,0,0,3,0,1,0,No
93,44523,HR,region_2,Master's & above,M,other,1,47,3.0,7,0,44.0,0,2,11,2,1,0,No
94,35420,Operations,region_2,Bachelor's,F,other,1,44,4.0,13,0,53.0,0,4,11,0,0,0,No
95,43923,Analytics,region_14,Bachelor's,M,sourcing,1,31,4.0,4,0,86.0,0,0,5,0,1,2,No
97,41983,Operations,region_2,Bachelor's,F,sourcing,1,33,3.0,5,0,57.0,0,4,11,0,0,2,No
98,21440,Sales & Marketing,region_31,Bachelor's,M,other,1,41,3.0,12,0,52.0,0,7,24,0,1,0,No
100,66635,Operations,region_15,Bachelor's,M,other,1,31,5.0,4,0,63.0,1,4,6,0,1,0,Yes
101,16027,Operations,region_26,Bachelor's,F,other,1,37,3.0,11,0,57.0,0,4,18,0,0,0,No
103,28509,Sales & Marketing,region_7,Bachelor's,M,other,1,40,5.0,8,0,54.0,0,7,31,0,1,0,No
104,33587,Sales & Marketing,region_28,Master's & above,M,sourcing,1,42,5.0,4,0,50.0,0,7,20,2,1,2,No
105,21387,Operations,region_13,Bachelor's,M,other,1,35,4.0,6,0,57.0,1,4,4,0,1,0,Yes
106,55927,Operations,region_13,Master's & above,F,sourcing,1,41,4.0,6,0,62.0,0,4,4,2,0,2,No
107,60763,Procurement,region_2,Bachelor's,F,other,1,23,3.0,2,0,73.0,0,5,11,0,0,0,No
112,75778,Operations,region_2,Bachelor's,M,sourcing,1,41,4.0,6,0,63.0,0,4,11,0,1,2,No
113,14141,Sales & Marketing,region_7,Bachelor's,F,other,1,40,3.0,2,0,90.0,1,7,31,0,0,0,Yes
114,17894,Sales & Marketing,region_2,Bachelor's,M,referred,1,34,5.0,5,0,49.0,0,7,11,0,1,1,No
115,54380,Sales & Marketing,region_4,Bachelor's,F,other,1,31,4.0,2,0,46.0,0,7,28,0,0,0,No
116,51892,Technology,region_2,Bachelor's,M,other,1,27,5.0,2,0,86.0,1,8,11,0,1,0,Yes
118,38771,Procurement,region_23,Bachelor's,F,other,1,27,4.0,4,0,72.0,1,5,15,0,0,0,Yes
120,21137,Technology,region_2,Bachelor's,M,sourcing,1,35,4.0,6,0,77.0,0,8,11,0,1,2,No
121,26097,Sales & Marketing,region_25,Master's & above,M,other,1,34,5.0,7,0,51.0,1,7,17,2,1,0,Yes
122,38052,Procurement,region_34,Master's & above,M,sourcing,1,37,5.0,3,1,92.0,1,5,27,2,1,2,Yes
126,15227,Procurement,region_27,Master's & above,F,other,1,40,5.0,5,0,68.0,0,5,19,2,0,0,No
129,54825,Sales & Marketing,region_25,Bachelor's,M,other,1,30,3.0,2,0,47.0,0,7,17,0,1,0,No
130,77709,Sales & Marketing,region_11,Bachelor's,F,sourcing,1,28,5.0,3,0,46.0,0,7,2,0,0,2,No
132,74783,Operations,region_29,Bachelor's,M,sourcing,1,35,4.0,7,0,58.0,0,4,21,0,1,2,No
133,19318,Analytics,region_22,Bachelor's,M,other,1,32,3.0,8,0,89.0,1,0,14,0,1,0,Yes
134,12096,Sales & Marketing,region_26,Master's & above,M,sourcing,1,36,5.0,8,0,50.0,0,7,18,2,1,2,No
136,29521,Technology,region_15,Bachelor's,M,other,1,27,3.0,4,0,78.0,0,8,6,0,1,0,No
138,51164,Technology,region_14,Bachelor's,F,other,1,31,4.0,4,1,78.0,0,8,5,0,0,0,No
139,17812,Technology,region_27,Bachelor's,F,sourcing,1,30,4.0,2,0,77.0,0,8,19,0,0,2,No
142,73735,Analytics,region_25,Bachelor's,M,other,1,30,5.0,3,0,84.0,0,0,17,0,1,0,No
143,29313,Finance,region_22,Bachelor's,M,sourcing,1,28,3.0,2,0,57.0,0,1,14,0,1,2,No
145,36904,Sales & Marketing,region_15,Bachelor's,M,other,1,29,3.0,2,0,51.0,0,7,6,0,1,0,No
146,62552,Sales & Marketing,region_22,Master's & above,M,sourcing,1,46,3.0,11,0,51.0,0,7,14,2,1,2,No
147,63285,Technology,region_29,Bachelor's,M,sourcing,1,31,5.0,4,0,80.0,0,8,21,0,1,2,No
149,75344,Sales & Marketing,region_4,Master's & above,M,other,1,31,4.0,6,0,50.0,0,7,28,2,1,0,No
150,74018,HR,region_7,Master's & above,F,other,1,37,3.0,9,0,48.0,0,2,31,2,0,0,No
152,35930,Procurement,region_2,Bachelor's,M,sourcing,1,25,5.0,3,0,70.0,1,5,11,0,1,2,Yes
153,6708,Operations,region_22,Master's & above,M,sourcing,1,40,4.0,4,0,57.0,0,4,14,2,1,2,No
154,5515,Operations,region_13,Master's & above,M,other,1,43,3.0,7,0,56.0,1,4,4,2,1,0,Yes
156,69316,Legal,region_29,Bachelor's,M,sourcing,1,29,3.0,3,0,63.0,0,3,21,0,1,2,No
158,50622,Analytics,region_25,Master's & above,M,other,1,34,5.0,2,0,84.0,0,0,17,2,1,0,No
161,23523,Technology,region_26,Bachelor's,M,sourcing,1,29,3.0,5,0,75.0,0,8,18,0,1,2,No
163,70543,Procurement,region_2,Master's & above,M,sourcing,1,37,5.0,7,0,70.0,0,5,11,2,1,2,No
164,42245,Procurement,region_22,Bachelor's,F,other,1,33,3.0,3,0,73.0,0,5,14,0,0,0,No
165,34405,Procurement,region_2,Master's & above,F,other,1,33,5.0,4,0,67.0,0,5,11,2,0,0,No
167,23599,Technology,region_23,Master's & above,M,other,1,34,4.0,7,0,82.0,0,8,15,2,1,0,No
169,5281,Sales & Marketing,region_7,Master's & above,M,other,1,34,4.0,6,0,53.0,0,7,31,2,1,0,No
172,26773,Technology,region_7,Bachelor's,F,other,1,28,2.0,5,0,75.0,0,8,31,0,0,0,No
177,53841,Operations,region_2,Bachelor's,M,sourcing,1,43,2.0,12,0,57.0,0,4,11,0,1,2,No
179,30196,Analytics,region_25,Bachelor's,M,sourcing,1,29,5.0,6,0,84.0,0,0,17,0,1,2,No
180,29757,Sales & Marketing,region_14,Bachelor's,M,sourcing,1,43,3.0,15,0,51.0,0,7,5,0,1,2,No
182,9863,Procurement,region_27,Bachelor's,M,sourcing,1,26,4.0,4,0,70.0,0,5,19,0,1,2,No
183,34306,Procurement,region_13,Bachelor's,F,other,1,31,5.0,5,0,72.0,0,5,4,0,0,0,No
184,34041,Operations,region_7,Bachelor's,M,other,1,40,4.0,11,0,58.0,0,4,31,0,1,0,No
187,51669,Technology,region_2,Master's & above,M,other,1,47,4.0,4,0,77.0,0,8,11,2,1,0,No
188,33825,Sales & Marketing,region_17,Bachelor's,M,other,1,34,4.0,7,0,48.0,1,7,8,0,1,0,Yes
190,11645,Sales & Marketing,region_23,Master's & above,M,other,1,41,5.0,7,0,51.0,0,7,15,2,1,0,No
192,7030,Analytics,region_31,Bachelor's,F,other,1,32,3.0,4,0,86.0,0,0,24,0,0,0,No
193,54198,Procurement,region_7,Master's & above,F,other,1,47,5.0,9,0,68.0,0,5,31,2,0,0,No
194,62293,Operations,region_27,Bachelor's,M,other,1,35,4.0,3,0,65.0,0,4,19,0,1,0,No
195,25312,Technology,region_22,Bachelor's,M,other,1,27,4.0,2,0,75.0,0,8,14,0,1,0,No
200,53630,Sales & Marketing,region_23,Master's & above,F,sourcing,1,34,4.0,5,1,94.0,1,7,15,2,0,2,Yes
201,72423,Operations,region_2,Master's & above,M,sourcing,1,39,3.0,2,0,60.0,0,4,11,2,1,2,No
202,73022,Sales & Marketing,region_25,Bachelor's,M,other,1,26,5.0,2,0,51.0,0,7,17,0,1,0,No
203,63976,Operations,region_31,Bachelor's,F,sourcing,1,30,5.0,4,0,56.0,0,4,24,0,0,2,No
205,57228,HR,region_2,Master's & above,M,sourcing,1,44,5.0,6,0,48.0,0,2,11,2,1,2,No
206,14912,Sales & Marketing,region_1,Bachelor's,M,other,1,38,3.0,4,0,49.0,0,7,0,0,1,0,No
208,18981,Legal,region_2,Master's & above,M,sourcing,1,50,5.0,6,1,58.0,0,3,11,2,1,2,No
209,50845,Procurement,region_19,Master's & above,M,other,1,44,3.0,12,0,70.0,0,5,10,2,1,0,No
213,73200,Operations,region_28,Bachelor's,M,sourcing,1,34,5.0,4,0,58.0,0,4,20,0,1,2,No
217,70193,Analytics,region_6,Bachelor's,M,sourcing,1,33,4.0,8,0,86.0,0,0,30,0,1,2,No
218,27188,Analytics,region_13,Master's & above,M,other,1,30,3.0,4,0,80.0,0,0,4,2,1,0,No
221,52231,Operations,region_2,Bachelor's,M,sourcing,1,43,3.0,3,0,58.0,0,4,11,0,1,2,No
223,76661,Procurement,region_17,Bachelor's,M,other,1,31,5.0,3,0,68.0,0,5,8,0,1,0,No
224,50595,Operations,region_2,Bachelor's,F,other,1,43,4.0,12,0,58.0,0,4,11,0,0,0,No
225,67673,Operations,region_4,Bachelor's,F,other,1,35,5.0,9,0,60.0,0,4,28,0,0,0,No
227,73405,Operations,region_2,Master's & above,M,other,1,50,3.0,8,0,59.0,0,4,11,2,1,0,No
228,73114,HR,region_17,Bachelor's,F,other,1,26,4.0,3,0,50.0,0,2,8,0,0,0,No
229,22572,Sales & Marketing,region_27,Bachelor's,M,sourcing,1,32,3.0,5,0,52.0,0,7,19,0,1,2,No
230,62923,Operations,region_13,Master's & above,F,other,1,38,5.0,2,1,93.0,1,4,4,2,0,0,Yes
233,24090,Procurement,region_14,Bachelor's,F,sourcing,1,37,3.0,9,0,69.0,0,5,5,0,0,2,No
235,25629,Sales & Marketing,region_11,Bachelor's,M,sourcing,1,36,3.0,8,0,51.0,0,7,2,0,1,2,No
236,71339,Technology,region_6,Bachelor's,M,other,1,35,3.0,8,0,78.0,0,8,30,0,1,0,No
237,54714,Analytics,region_29,Bachelor's,M,other,1,39,3.0,4,0,85.0,0,0,21,0,1,0,No
238,7390,Operations,region_12,Bachelor's,F,sourcing,1,31,5.0,4,0,63.0,0,4,3,0,0,2,No
243,32557,Analytics,region_20,Bachelor's,M,sourcing,1,30,3.0,4,0,84.0,0,0,12,0,1,2,No
246,63237,Technology,region_22,Bachelor's,M,referred,1,26,4.0,2,0,82.0,0,8,14,0,1,1,No
247,32838,Technology,region_7,Bachelor's,M,other,1,31,4.0,4,0,78.0,0,8,31,0,1,0,No
248,23003,Technology,region_14,Bachelor's,F,other,1,38,5.0,7,0,82.0,0,8,5,0,0,0,No
249,45198,Sales & Marketing,region_13,Bachelor's,M,other,1,39,4.0,9,0,49.0,0,7,4,0,1,0,No
250,40376,Sales & Marketing,region_4,Bachelor's,M,other,1,30,5.0,4,1,50.0,0,7,28,0,1,0,No
251,60176,Procurement,region_15,Master's & above,F,other,1,34,5.0,8,0,67.0,0,5,6,2,0,0,No
252,67652,Procurement,region_23,Master's & above,F,other,1,33,3.0,5,0,72.0,0,5,15,2,0,0,No
253,15476,Technology,region_2,Bachelor's,F,other,1,29,5.0,3,0,78.0,0,8,11,0,0,0,No
257,73435,Legal,region_22,Bachelor's,M,sourcing,1,34,5.0,4,0,64.0,0,3,14,0,1,2,No
258,51255,Sales & Marketing,region_27,Bachelor's,M,sourcing,1,35,3.0,7,0,46.0,0,7,19,0,1,2,No
259,70060,Technology,region_13,Master's & above,M,other,1,43,3.0,14,0,79.0,0,8,4,2,1,0,No
263,33357,Operations,region_22,Bachelor's,M,sourcing,1,41,4.0,4,0,63.0,0,4,14,0,1,2,No
266,59608,Sales & Marketing,region_2,Master's & above,F,other,1,41,4.0,5,0,48.0,0,7,11,2,0,0,No
271,48756,Operations,region_7,Bachelor's,F,sourcing,1,35,5.0,3,0,59.0,0,4,31,0,0,2,No
273,13970,Operations,region_33,Master's & above,M,other,1,36,3.0,4,0,60.0,0,4,26,2,1,0,No
274,49868,Technology,region_5,Bachelor's,M,other,1,45,3.0,15,0,87.0,0,8,29,0,1,0,No
275,25261,Procurement,region_7,Master's & above,M,other,1,38,4.0,7,0,66.0,0,5,31,2,1,0,No
276,44536,Sales & Marketing,region_27,Bachelor's,F,other,1,26,2.0,4,0,47.0,0,7,19,0,0,0,No
278,27989,Analytics,region_34,Bachelor's,M,sourcing,1,32,3.0,7,0,87.0,0,0,27,0,1,2,No
279,12598,Analytics,region_6,Bachelor's,M,sourcing,1,29,4.0,4,0,78.0,0,0,30,0,1,2,No
280,32877,Sales & Marketing,region_2,Bachelor's,F,other,1,40,3.0,12,0,50.0,0,7,11,0,0,0,No
283,2177,Finance,region_16,Bachelor's,M,other,1,32,5.0,6,0,58.0,0,1,7,0,1,0,No
284,51771,Operations,region_17,Bachelor's,M,other,1,42,5.0,11,0,67.0,0,4,8,0,1,0,No
285,26026,Procurement,region_15,Bachelor's,F,sourcing,1,30,5.0,3,0,65.0,0,5,6,0,0,2,No
286,64977,Procurement,region_16,Bachelor's,F,other,1,24,3.0,2,0,70.0,0,5,7,0,0,0,No
287,44585,Sales & Marketing,region_30,Bachelor's,M,sourcing,1,35,3.0,7,0,56.0,0,7,23,0,1,2,No
289,56287,HR,region_2,Bachelor's,F,sourcing,1,22,3.0,2,0,47.0,0,2,11,0,0,2,No
293,49126,Technology,region_15,Bachelor's,M,other,1,29,2.0,5,0,77.0,0,8,6,0,1,0,No
296,22031,Procurement,region_2,Bachelor's,F,other,1,29,4.0,2,0,95.0,1,5,11,0,0,0,Yes
297,36185,Technology,region_13,Bachelor's,M,sourcing,1,30,2.0,9,0,79.0,0,8,4,0,1,2,No
298,58415,Sales & Marketing,region_7,Bachelor's,M,other,1,45,4.0,5,0,50.0,0,7,31,0,1,0,No
300,62742,Finance,region_32,Bachelor's,M,sourcing,1,28,2.0,4,0,59.0,0,1,25,0,1,2,No
301,33619,Technology,region_2,Master's & above,M,sourcing,1,46,5.0,10,0,76.0,0,8,11,2,1,2,No
302,41212,Procurement,region_7,Bachelor's,M,sourcing,1,27,2.0,2,0,69.0,0,5,31,0,1,2,No
303,40204,Sales & Marketing,region_11,Bachelor's,M,sourcing,1,34,2.0,5,0,47.0,0,7,2,0,1,2,No
305,12559,Operations,region_22,Bachelor's,F,other,1,35,5.0,10,0,63.0,0,4,14,0,0,0,No
306,30433,Procurement,region_27,Bachelor's,M,other,1,36,4.0,3,0,66.0,0,5,19,0,1,0,No
308,9616,Finance,region_31,Bachelor's,M,other,1,29,4.0,4,0,57.0,0,1,24,0,1,0,No
309,26563,Procurement,region_2,Bachelor's,F,referred,1,33,3.0,3,0,67.0,0,5,11,0,0,1,No
310,38331,Operations,region_16,Bachelor's,F,other,1,32,5.0,6,0,62.0,0,4,7,0,0,0,No
311,18651,Legal,region_22,Below Secondary,M,other,1,25,5.0,2,0,59.0,0,3,14,1,1,0,No
317,22865,Analytics,region_20,Master's & above,M,other,1,40,5.0,5,1,83.0,1,0,12,2,1,0,Yes
319,2268,Technology,region_13,Bachelor's,M,other,1,35,5.0,8,0,81.0,0,8,4,0,1,0,No
320,33517,Sales & Marketing,region_7,Master's & above,M,other,1,37,3.0,7,0,52.0,0,7,31,2,1,0,No
321,27605,Operations,region_22,Master's & above,M,other,1,34,3.0,3,0,75.0,1,4,14,2,1,0,Yes
322,69349,Operations,region_8,Bachelor's,M,sourcing,1,25,3.0,2,0,57.0,0,4,32,0,1,2,No
325,55425,Technology,region_2,Bachelor's,F,other,1,31,4.0,7,0,80.0,0,8,11,0,0,0,No
327,36547,Analytics,region_25,Bachelor's,M,sourcing,1,32,3.0,6,0,86.0,0,0,17,0,1,2,No
328,11205,Sales & Marketing,region_19,Bachelor's,M,sourcing,1,36,5.0,8,0,48.0,0,7,10,0,1,2,No
330,44703,Sales & Marketing,region_2,Bachelor's,F,sourcing,1,42,4.0,9,0,51.0,0,7,11,0,0,2,No
331,14847,Sales & Marketing,region_20,Bachelor's,M,other,1,28,3.0,3,0,48.0,0,7,12,0,1,0,No
333,72157,Analytics,region_2,Bachelor's,M,sourcing,1,41,3.0,3,0,86.0,0,0,11,0,1,2,No
335,51544,Procurement,region_12,Bachelor's,F,other,1,32,5.0,5,1,84.0,1,5,3,0,0,0,Yes
337,37952,Operations,region_26,Master's & above,M,other,1,41,3.0,7,0,58.0,0,4,18,2,1,0,No
338,39914,Technology,region_2,Master's & above,M,other,1,31,5.0,4,0,82.0,0,8,11,2,1,0,No
339,74332,Sales & Marketing,region_26,Bachelor's,M,other,1,37,4.0,5,0,54.0,0,7,18,0,1,0,No
341,53988,Finance,region_2,Below Secondary,M,other,1,26,5.0,2,0,60.0,0,1,11,1,1,0,No
342,49775,Sales & Marketing,region_13,Bachelor's,M,sourcing,1,44,5.0,11,0,42.0,0,7,4,0,1,2,No
343,66965,Operations,region_7,Bachelor's,F,sourcing,1,44,3.0,10,0,60.0,0,4,31,0,0,2,No
344,70197,R&D,region_22,Master's & above,M,other,1,30,4.0,2,0,96.0,1,6,14,2,1,0,Yes
345,66210,Operations,region_22,Below Secondary,M,other,1,24,3.0,2,0,59.0,0,4,14,1,1,0,No
347,52132,Technology,region_11,Master's & above,M,other,1,32,3.0,5,0,80.0,0,8,2,2,1,0,No
348,72604,Sales & Marketing,region_2,Bachelor's,M,sourcing,1,40,5.0,7,0,53.0,0,7,11,0,1,2,No
350,55730,Sales & Marketing,region_26,Bachelor's,M,other,1,45,4.0,15,0,64.0,1,7,18,0,1,0,Yes
351,8284,Sales & Marketing,region_2,Bachelor's,F,other,1,34,5.0,5,0,60.0,1,7,11,0,0,0,Yes
353,36117,Technology,region_24,Bachelor's,M,sourcing,1,35,3.0,7,0,82.0,0,8,16,0,1,2,No
355,15924,Sales & Marketing,region_23,Bachelor's,M,other,1,35,2.0,8,0,48.0,0,7,15,0,1,0,No
357,25949,Operations,region_29,Bachelor's,M,other,1,33,3.0,5,0,60.0,0,4,21,0,1,0,No
358,51509,HR,region_2,Master's & above,F,sourcing,1,44,3.0,14,0,47.0,0,2,11,2,0,2,No
361,11337,Sales & Marketing,region_22,Bachelor's,M,sourcing,1,37,5.0,2,0,54.0,0,7,14,0,1,2,No
363,38318,Procurement,region_19,Bachelor's,M,other,1,32,3.0,8,0,69.0,0,5,10,0,1,0,No
364,60969,Operations,region_2,Bachelor's,F,other,1,33,5.0,7,0,57.0,0,4,11,0,0,0,No
367,54416,Sales & Marketing,region_15,Bachelor's,M,sourcing,1,30,2.0,5,0,49.0,0,7,6,0,1,2,No
368,4585,Analytics,region_15,Bachelor's,M,sourcing,1,35,5.0,3,0,81.0,0,0,6,0,1,2,No
369,64140,Technology,region_11,Bachelor's,M,sourcing,1,32,3.0,4,0,80.0,0,8,2,0,1,2,No
375,15844,Operations,region_3,Master's & above,F,other,1,31,5.0,7,0,59.0,0,4,22,2,0,0,No
376,1497,Sales & Marketing,region_10,Master's & above,F,other,1,37,3.0,6,0,47.0,0,7,1,2,0,0,No
377,11488,Sales & Marketing,region_7,Master's & above,M,other,1,42,3.0,12,0,48.0,0,7,31,2,1,0,No
378,59616,Procurement,region_4,Master's & above,M,other,1,40,3.0,6,0,72.0,0,5,28,2,1,0,No
379,9002,Operations,region_2,Bachelor's,M,sourcing,1,37,5.0,5,0,64.0,0,4,11,0,1,2,No
380,63753,Operations,region_22,Bachelor's,M,other,1,50,3.0,8,0,57.0,0,4,14,0,1,0,No
382,30143,HR,region_2,Master's & above,F,referred,1,57,3.0,13,0,53.0,0,2,11,2,0,1,No
385,29073,Operations,region_2,Bachelor's,F,sourcing,1,34,5.0,8,0,54.0,0,4,11,0,0,2,No
387,3171,Operations,region_4,Master's & above,F,referred,1,32,4.0,7,0,59.0,0,4,28,2,0,1,No
391,70048,Sales & Marketing,region_1,Master's & above,M,other,1,37,3.0,10,0,49.0,1,7,0,2,1,0,Yes
392,63757,Sales & Marketing,region_2,Bachelor's,F,sourcing,1,48,4.0,13,0,52.0,0,7,11,0,0,2,No
393,19046,Technology,region_2,Bachelor's,M,other,1,40,5.0,12,0,84.0,0,8,11,0,1,0,No
394,37427,Technology,region_20,Bachelor's,M,other,1,32,3.0,6,0,73.0,0,8,12,0,1,0,No
396,68064,Procurement,region_23,Bachelor's,F,other,1,35,3.0,6,0,66.0,0,5,15,0,0,0,No
398,51002,Analytics,region_15,Master's & above,M,other,1,32,3.0,4,0,86.0,0,0,6,2,1,0,No
400,15801,Operations,region_26,Bachelor's,F,other,1,40,4.0,13,0,60.0,0,4,18,0,0,0,No
401,47265,Procurement,region_2,Master's & above,M,other,1,43,2.0,7,0,70.0,0,5,11,2,1,0,No
402,26798,Operations,region_32,Master's & above,M,other,1,38,3.0,6,0,60.0,0,4,25,2,1,0,No
403,72203,Sales & Marketing,region_7,Bachelor's,M,other,1,36,5.0,8,0,49.0,0,7,31,0,1,0,No
408,76427,HR,region_22,Master's & above,F,other,1,35,3.0,5,0,50.0,0,2,14,2,0,0,No
